title,year,genre,id
A Garota da Moto,2016,9,
A Gay and a Girl,2015,6,
A Generation at War,2014,8,
A Generation at War,2014,22,
A Gifted Man,2011,9,
A Gifted Man,2011,11,
A Girl Named Zat,2013,9,
A God Named Pablo,2010,1,
A God Named Pablo,2010,6,
A God Named Pablo,2010,11,
A Grande Mentira,1958,9,
A Great Welsh Adventure with Griff Rhys Jones,2014,8,
A Guerra dos Pintos,1999,6,
A Gurls Wurld,2010,10,
A Guy Walks Into a Bar,2011,6,
A Guy and a Girl,2002,6,
A Gypsy Life for Me,2011,8,
A Handful of Songs,1973,14,
A Handful of Thieves,1969,9,
A Haunting We Will Go,1976,10,
A Haunting in Ravenswood,2014,16,
A Haunting,2005,8,
A Haunting,2005,12,
A Haunting,2005,13,
A Higher Education,2011,8,
A Higher Education,2011,19,
A History of Ancient Britain,2011,8,
A History of Art in Three Colours,2012,8,
A History of Black Achievement in America,2005,8,
A History of Black Achievement in America,2005,12,
A History of Britain,2000,8,
A History of Britain,2000,12,
A History of British Art,1996,8,
A History of Celtic Britain,2011,8,
A History of Christianity,2009,8,
A History of Film,2016,8,
A History of Horror with Mark Gatiss,2010,8,
A History of Scotland,2008,8,
A History of Scotland,2008,12,
A History of Tyneside,2006,8,
A History of the World,2010,8,
A Hollywood Affair,2012,6,
A Hora da Liberdade,1999,1,
A Hora da Liberdade,1999,9,
A Hora do Lecas,1989,10,
A Hora do Mico,2005,6,
A Horrorshow,2014,13,
A Horseman Riding By,1978,9,
A Hot Mess,2015,6,
A House Called Bell Tower,1960,9,
A House for All Seasons,1983,10,
A Houseful of Plants,1987,8,
A Hundred Years of Us,2011,8,
A Hundred Years of Us,2011,12,
A Impostora,2016,6,
A Impostora,2016,9,
A Impostora,2016,18,
A Industria Regionalizada,1980,8,
A Is for Aardvark,1954,8,
A Journey Through Aesthetic Realms,2005,12,
A Journey Through Aesthetic Realms,2005,17,
A Journey Through Asian Art,2014,8,
A Journey Through the Three Times Moving Trilogy,2015,8,
A Kalahari Family,2001,8,
A Kick Up the Eighties,1981,6,
A Killing on the Exchange,1987,21,
A Kind of Living,1988,6,
A Kind of Loving,1982,9,
A Kind of Magic,2008,4,
A Kind of Magic,2008,10,
A Kind of Magic,2008,11,
A Kinda Sketchy Show,2013,6,
A Kings Life,2016,9,
A LARP Story,2013,6,
A LARP Story,2013,11,
A Laker Life,2014,20,
A Land Looking West,1977,8,
A Laugh a Day,2013,4,
A Laugh a Day,2013,6,
A Laugh a Day,2013,19,
A Laughing Matter,2013,6,
A Laurel and Hardy Cartoon,1966,4,
A League of Their Own,1993,6,
A League of Their Own,1993,20,
A League of Their Own,2010,6,
A League of Their Own,2010,20,
A Legacy of Faith,2008,10,
A Legacy,1975,9,
A Legitimate Television Show,2016,6,
A Lei de Murphy,2014,6,
A Lei e o Crime,2009,1,
A Lei e o Crime,2009,7,
A Lena e o Carlos,1960,6,
A Life at Stake,1978,9,
A Life in Pieces,1990,6,
A Life in Pieces,1990,19,
A Life of Bliss,1960,6,
A Life of Bliss,1960,9,
A Life of Grime,1999,8,
A Life,2008,8,
A Liga,2010,8,
A Likely Lad,1990,9,
A Likely Story,1987,10,
A Limey in the USA,2012,8,
A Little Advice,2016,6,
A Little Big Business,1963,6,
A Little Bit of Wisdom,1974,6,
A Little Curious,1998,4,
A Little Curious,1998,10,
A Little Help,2014,6,
A Little Night Music,1978,14,
A Little Off,2016,6,
A Little Pain,2015,9,
A Little Princess,1973,9,
A Little Silver Trumpet,1980,9,
A Loja do Camilo,1999,6,
A Loving Home,2011,6,
A Lua Me Disse,2005,18,
A Magazine,1998,17,
A Man Called Harry Brent,1965,21,
A Man Called Hawk,1989,1,
A Man Called Hawk,1989,9,
A Man Called Intrepid,1979,3,
A Man Called Intrepid,1979,9,
A Man Called Intrepid,1979,22,
A Man Called Shenandoah,1965,23,
A Man Called Sloane,1979,1,
A Man Called Sloane,1979,3,
A Man Called Sloane,1979,9,
A Man Dies,1964,9,
A Man Walks Into a Bar,2014,12,
A Man of Principals,2009,6,
A Man of our Times,1967,9,
A Many Splintered Thing,2000,6,
A Many Splintered Thing,2000,18,
A Marquesa de Vila Rica,1991,6,
A Married Man,1983,9,
A Mask for Alexis,1959,21,
A Match Made in Heaven,2008,8,
A Matter of Degree,1960,9,
A Menina Sem Qualidades,2013,9,
A Message from God,2002,4,
A Midsummer Theatre,1958,9,
A Mind to Kill,1994,7,
A Mind to Kill,1994,9,
A Minority Report,2013,6,
A Minute of Self Defense,2013,17,
A Minute with Stan Hooper,2003,6,
A Miss Mallard Mystery,2000,3,
A Miss Mallard Mystery,2000,4,
A Miss Mallard Mystery,2000,7,
A Miss Mallard Mystery,2000,16,
A Model Adventure,2014,8,
